City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabedelo,-6.9811,-34.8339,23.37,76,2,3.52,BR,1696218869
1,blackmans bay,-43.0167,147.3167,21.52,32,63,5.05,AU,1696218712
2,tezu,27.9167,96.1667,25.74,96,100,0.41,IN,1696218869
3,keflavik,64.0049,-22.5624,8.95,76,0,7.72,IS,1696218699
4,am timan,11.0297,20.2827,23.45,84,92,1.64,TD,1696218869
5,edinburgh of the seven seas,-37.0676,-12.3116,9.75,66,97,10.29,SH,1696218699
6,vorgashor,67.5833,63.95,8.95,97,100,6.64,RU,1696218700
7,hermanus,-34.4187,19.2345,14.02,60,0,4.29,ZA,1696218706
8,pangody,65.85,74.4859,6.21,98,100,5.95,RU,1696218869
9,castillos,-34.1667,-53.8333,7.35,90,14,1.29,UY,1696218789
10,yanchep,-31.55,115.6833,17.79,53,85,8.9,AU,1696218870
11,katsuren-haebaru,26.3369,127.8719,30.22,71,75,7.2,JP,1696218870
12,albany,42.6001,-73.9662,17.73,91,5,2.09,US,1696218601
13,waitangi,-43.9535,-176.5597,14.34,88,83,3.13,NZ,1696218870
14,nova vicosa,-17.8919,-39.3719,22.0,78,98,2.82,BR,1696218870
15,puerto baquerizo moreno,-0.9,-89.6,22.61,89,98,4.69,EC,1696218747
16,avarua,-21.2078,-159.775,22.03,88,75,5.14,CK,1696218870
17,adamstown,-25.066,-130.1015,20.51,79,38,11.13,PN,1696218700
18,carora,10.1755,-70.0827,23.35,80,100,0.3,VE,1696218870
19,tindouf,27.6711,-8.1474,24.25,22,0,2.06,DZ,1696218870
20,jieshi,22.8134,115.8257,28.68,72,45,4.6,CN,1696218831
21,chonchi,-42.6128,-73.8092,5.07,98,83,0.64,CL,1696218871
22,bredasdorp,-34.5322,20.0403,9.92,80,2,2.28,ZA,1696218703
23,carbonear,47.7332,-53.2148,13.4,90,5,4.29,CA,1696218777
24,ribeira grande,38.5167,-28.7,19.32,74,99,1.79,PT,1696218730
25,bikenibeu village,1.3673,173.1241,31.98,66,20,2.06,KI,1696218743
26,grytviken,-54.2811,-36.5092,2.23,95,33,4.72,GS,1696218456
27,utrik,11.2278,169.8474,28.67,78,92,5.84,MH,1696218697
28,tarauaca,-8.1614,-70.7656,22.7,98,100,0.81,BR,1696218713
